Time (min),Cyanobacterial cell count,wastewater concentration (Ci),Sonicator power density,Concentration of H2O2,Volume (mL),Solution pH,final count/0.5 mL,final count/mL,Particles/mL,Area (ABD) Mean,Area (ABD) Min,Area (ABD) Max,Area (Filled) Mean,Area (Filled) Min,Area (Filled) Max,Aspect Ratio Mean,Aspect Ratio Min,Aspect Ratio Max,Circle Fit Mean,Circle Fit Min,Circle Fit Max,Circularity Mean,Circularity Min,Circularity Max,Circularity (Hu) Mean,Circularity (Hu) Min,Circularity (Hu) Max,Compactness Mean,Compactness Min,Compactness Max,Convex Perimeter Mean,Convex Perimeter Min,Convex Perimeter Max,Convexity Mean,Convexity Min,Convexity Max,Diameter (ABD) Mean,Diameter (ABD) Min,Diameter (ABD) Max,Diameter (ESD) Mean,Diameter (ESD) Min,Diameter (ESD) Max,Diameter (FD) Mean,Diameter (FD) Min,Diameter (FD) Max,"D[3,2](ABD) Mean","D[3,2](ESD) Mean","D[4,3](ABD) Mean","D[4,3](ESD) Mean",Edge Gradient Mean,Edge Gradient Min,Edge Gradient Max,Elapsed Time Mean,Elapsed Time Min,Elapsed Time Max,Elongation Mean,Elongation Min,Elongation Max,Fiber Curl Mean,Fiber Curl Min,Fiber Curl Max,Fiber Straightness Mean,Fiber Straightness Min,Fiber Straightness Max,Geodesic Aspect Ratio Mean,Geodesic Aspect Ratio Min,Geodesic Aspect Ratio Max,Geodesic Length Mean,Geodesic Length Min,Geodesic Length Max,Geodesic Thickness Mean,Geodesic Thickness Min,Geodesic Thickness Max,Image Height Mean,Image Height Min,Image Height Max,Image Width Mean,Image Width Min,Image Width Max,Intensity Mean,Intensity Min,Intensity Max,Length Mean,Length Min,Length Max,Particles Per Chain Mean,Particles Per Chain Min,Particles Per Chain Max,Perimeter Mean,Perimeter Min,Perimeter Max,Ratio Blue/Green Mean,Ratio Blue/Green Min,Ratio Blue/Green Max,Ratio Red/Blue Mean,Ratio Red/Blue Min,Ratio Red/Blue Max,Ratio Red/Green Mean,Ratio Red/Green Min,Ratio Red/Green Max,Roughness Mean,Roughness Min,Roughness Max,Scatter Area Mean,Scatter Area Min,Scatter Area Max,Scatter Peak Mean,Scatter Peak Min,Scatter Peak Max,Scatter Width Mean,Scatter Width Min,Scatter Width Max,Sigma Intensity Mean,Sigma Intensity Min,Sigma Intensity Max,Sphere Complement Mean,Sphere Complement Min,Sphere Complement Max,Sphere Count Mean,Sphere Count Min,Sphere Count Max,Sphere Unknown Mean,Sphere Unknown Min,Sphere Unknown Max,Sphere Volume Mean,Sphere Volume Min,Sphere Volume Max,Sum Intensity Mean,Sum Intensity Min,Sum Intensity Max,Symmetry Mean,Symmetry Min,Symmetry Max,Transparency Mean,Transparency Min,Transparency Max,Volume (ABD) Mean,Volume (ABD) Min,Volume (ABD) Max,Volume (ESD) Mean,Volume (ESD) Min,Volume (ESD) Max,Width Mean,Width Min,Width Max
0,108768,10,20,0,100,7.4,54384,108768,220715.33,77.49,1.62,1961.74,79.57,1.62,2176.82,0.63,0,1,0.61,0,0.95,0.56,0.03,1,0.71,0.01,1,2.45,1,37.26,40.64,20.13,498.08,0.86,0,1,8.07,1.44,49.98,11.42,5,157.1,8.17,1.44,52.65,18.49,29.23,25.51,46.15,58.57,3.07,227.09,90.77,0.58,182.75,5.35,1,115.05,0.42,0,2.96,0.79,0.25,4.62,0.44,0.01,1,20.68,5.08,368.59,6,0.6,36.56,31.4,9,294,28.12,11,208,144.82,43.83,203.2,14.59,5.51,239.91,1.21,1,13,53.36,14.87,745.07,1.01,0.95,1.06,0.99,0.92,1.08,0.99,0.93,1.08,1.3,0.25,3.18,0,0,0,0,0,0,0,0,0,22.05,0.73,67.9,0,0,0,0,0,0,0,0,0,0,0,0,31591.25,2066,582878,0.53,0,1,0.28,0.03,0.92,955.42,1.55,65362.3,3049.24,65.48,2030313.13,7.51,0.73,77.52
10,108768,10,20,0,100,7.4,24480,48960,97832.54,35.55,1.89,1802.43,36.07,1.89,2061.59,0.7,0,1,0.74,0,0.96,0.76,0.01,1,0.81,0.04,1,1.56,1,77.14,29.1,20.07,302.52,0.93,0,1,6.09,1.55,47.91,7.74,5,94.85,6.12,1.55,51.23,9.97,14.76,14.73,28.6,70.88,3.45,233.37,91.05,0.58,185.58,2.52,1,240.35,0.19,0,4.31,0.93,0.19,2.25,0.72,0,1,11.3,3.75,315.59,6.44,0.81,35.78,25.53,12,211,24.02,11,163,137.89,46.55,205.12,9.7,5.51,145.12,1.15,1,27,35.48,13.84,634.05,1.01,0.97,1.04,0.99,0.91,1.07,0.99,0.95,1.04,1.22,0.64,3.75,0,0,0,0,0,0,0,0,0,24.33,0.91,70.15,0,0,0,0,0,0,0,0,0,0,0,0,18700.49,2182,530902,0.67,0,1,0.2,0.03,0.83,236.35,1.95,57564.03,571.94,65.48,446803.51,5.39,0.73,65.03
20,108768,10,20,0,100,7.4,20451,40902,81667.46,33.39,2.16,1846.39,33.87,2.16,2037.25,0.69,0,1,0.74,0,0.96,0.77,0.02,1,0.8,0.03,1,1.51,1,45.77,28.47,20.05,397.94,0.92,0,1,5.9,1.66,48.49,7.54,5,125.06,5.93,1.66,50.93,10.05,16.08,16.17,42.35,72.44,3.36,229.49,90.96,0.58,185.72,2.37,1,141.77,0.17,0,3.08,0.94,0.25,2.43,0.72,0.01,1,10.84,4.51,333.96,6.34,0.82,31.39,25.25,12,241,23.8,11,257,137.34,41.81,200.04,9.47,5.51,188.48,1.18,1,16,34.36,15.05,672.63,1.01,0.97,1.04,0.99,0.92,1.04,0.99,0.96,1.05,1.2,0.49,3.28,0,0,0,0,0,0,0,0,0,24.6,1.15,70.07,0,0,0,0,0,0,0,0,0,0,0,0,17877.06,2284,482437,0.67,0,1,0.21,0.02,0.83,223.73,2.39,59682.65,592.97,65.48,1024099.62,5.23,0.73,47.39
30,108768,10,20,0,100,7.4,19227,38454,76443.23,30.52,2.02,1799.9,30.86,2.02,1799.9,0.69,0.07,1,0.75,0,0.96,0.78,0.05,1,0.79,0.04,1,1.46,1,20.1,27.83,20.07,265.21,0.92,0.19,1,5.73,1.61,47.87,7.34,5,82.87,5.76,1.61,47.87,8.74,11.9,12.91,22.55,73.18,4.51,231.04,90.83,0.58,186.53,2.23,1,61.13,0.16,0,2.37,0.95,0.3,2.68,0.73,0.02,1,10.39,3.9,330.03,6.25,0.94,43.52,24.84,13,181,23.72,14,163,136.37,51.51,199.07,9.22,5.51,125.28,1.19,1,6,33.28,14.44,670.85,1.01,0.97,1.05,0.99,0.92,1.05,0.99,0.96,1.03,1.2,0.52,2.56,0,0,0,0,0,0,0,0,0,24.14,1.04,68.98,0,0,0,0,0,0,0,0,0,0,0,0,16952.18,2597,446706,0.68,0,1,0.21,0.03,0.83,177.93,2.17,57443.1,392.13,65.48,297972.83,5.07,1.1,49.6
40,108768,10,20,0,100,7.4,19802,39604,79137.25,29.54,2.43,1880.77,29.85,2.43,1880.77,0.68,0.05,1,0.74,0,0.96,0.77,0.02,1,0.78,0.04,1,1.47,1,40.96,27.74,20.07,298.07,0.91,0.21,1,5.64,1.76,48.94,7.31,5,93.3,5.66,1.76,48.94,8.71,12.16,13.19,25.15,72.82,5.39,229.07,89.47,0.56,185.55,2.26,1,126.66,0.15,0,3.33,0.95,0.23,2.45,0.72,0.01,1,10.36,3.9,357.9,6.13,0.95,33.55,24.64,11,126,23.91,13,190,136.47,44.84,202.96,9.23,5.51,132.63,1.21,1,9,32.98,14.44,721.45,1.01,0.98,1.04,0.99,0.93,1.06,0.99,0.95,1.04,1.19,0.53,3.24,0,0,0,0,0,0,0,0,0,23.74,1.27,71.23,0,0,0,0,0,0,0,0,0,0,0,0,16616.64,2640,481719,0.67,0,1,0.22,0.03,0.83,171.45,2.85,61357.4,397.68,65.48,425238.16,5,0.73,53.27
50,108768,10,20,0,100,7.4,19605,39210,77606.06,26.31,2.02,932.77,26.55,2.02,947.07,0.67,0.05,1,0.74,0,0.95,0.77,0.09,1,0.76,0.04,1,1.46,1,11.54,27.07,20.05,166.38,0.91,0.2,1,5.4,1.61,34.46,7.1,5,51.46,5.42,1.61,34.73,7.47,9.6,9.63,13.1,74.41,5.71,231.95,89.42,0.58,187.33,2.23,1,34.22,0.14,0,2.28,0.96,0.31,2.24,0.71,0.03,1,9.98,4.58,100.55,5.95,0.99,32.92,24.39,11,108,23.64,13,109,135.95,53.16,202.28,9.04,5.51,71.64,1.24,1,7,31.86,14.87,209.8,1.01,0.98,1.05,0.99,0.91,1.05,0.99,0.96,1.03,1.18,0.54,2.17,0,0,0,0,0,0,0,0,0,23.21,1.36,68.42,0,0,0,0,0,0,0,0,0,0,0,0,15481.53,2327,251274,0.67,0,1,0.23,0.02,0.78,131.04,2.17,21430.28,283.49,65.48,71337.37,4.77,1.1,35.64
60,108768,10,20,0,100,7.4,20034,40068,81802.19,26.23,2.02,1259.08,26.48,2.02,1314.99,0.65,0.05,1,0.73,0,0.96,0.77,0.08,1,0.75,0.03,1,1.46,1,13.26,27.13,20.05,182.16,0.9,0.19,1,5.36,1.61,40.04,7.12,5,56.4,5.38,1.61,40.92,7.76,9.94,10.8,14.4,74.15,3.97,233.68,86.38,0.58,181.63,2.23,1,39.63,0.13,0,2.64,0.96,0.27,2.29,0.7,0.03,1,10,4.11,188.83,5.89,0.8,24.58,24.58,13,103,23.53,14,102,135.5,49.14,197.82,9.12,5.51,75.32,1.26,1,5,31.78,14.27,393.94,1.01,0.97,1.04,0.99,0.92,1.04,0.99,0.95,1.04,1.17,0.51,2.34,0,0,0,0,0,0,0,0,0,22.59,0.85,71.4,0,0,0,0,0,0,0,0,0,0,0,0,15345.24,2166,340768,0.67,0,1,0.23,0.02,0.83,135.63,2.17,33608.18,297.63,65.48,93916.35,4.7,0.73,50.33
0,200000,20,20,0,100,7.4,84810,169620,336842.64,98.93,2.02,11614.08,101.15,2.02,11678.21,0.65,0.03,1,0.62,0,0.96,0.6,0.02,1,0.75,0.01,1,2.14,1,60.66,42.9,20.03,755.97,0.89,0.07,1,8.94,1.61,121.6,12.13,5,239.14,9.03,1.61,121.94,24.26,37.05,40.48,65.31,65.8,40,245.05,92.62,0.58,186.7,4.38,1,188.57,0.38,0,4.39,0.81,0.19,3.54,0.48,0.01,1,21.51,4.58,789.64,6.62,0.77,56.94,32.03,10,529,29.47,12,349,148.17,38.3,208.83,15.35,5.51,365.56,1.17,1,22,56.25,15.05,1587.65,1.01,0.95,1.05,0.99,0.9,1.11,0.99,0.95,1.07,1.29,0.34,4,0,0,0,0,0,0,0,0,0,25.33,2.64,69.19,0,0,0,0,0,0,0,0,0,0,0,0,38737.12,2777,2185382,0.55,0,1,0.25,0.02,0.89,1599.84,2.17,941544.59,4684.22,65.48,7160389.58,8.17,0.73,145.12
10,200000,20,20,0,100,7.4,40721,81442,158070.12,36.59,1.62,2119.43,37,1.62,2787.66,0.67,0.07,1,0.72,0,0.96,0.75,0.04,1,0.78,0.02,1,1.53,1,23.51,29.88,19.96,309.03,0.92,0.15,1,6.16,1.44,51.95,7.99,5,96.89,6.18,1.44,59.58,10.06,13.67,14.55,23.5,77.51,40,237,94.83,0.56,191,2.44,1,71.85,0.17,0,2.8,0.94,0.26,3.01,0.68,0.01,1,11.53,4.11,302.38,6.35,0.99,33.85,25.74,12,174,24.63,12,138,143.52,38.88,212.94,10.13,5.51,117.2,1.19,1,9,35.76,14.44,613.18,1.01,0.96,1.05,0.99,0.92,1.06,0.99,0.95,1.05,1.2,0.4,2.54,0,0,0,0,0,0,0,0,0,26.15,3.78,71.79,0,0,0,0,0,0,0,0,0,0,0,0,19763.81,2088,641081,0.65,0,1,0.22,0.02,0.83,245.44,1.55,73399.46,554.46,65.48,476273.32,5.41,0.73,72.38
20,200000,20,20,0,100,7.4,27804,55608,129501.91,35.63,2.16,8326.6,36.03,2.16,8457.92,0.67,0.07,1,0.72,0,0.97,0.75,0.05,1,0.77,0.02,1,1.5,1,18.86,29.2,20.05,414.93,0.91,0.12,1,5.96,1.66,102.96,7.77,5,130.51,5.98,1.66,103.77,13.11,16.48,32.92,41.04,78.68,40,240.15,80.52,0.56,159.28,2.35,1,57.23,0.16,0,2.37,0.94,0.3,2.89,0.68,0.02,1,11.14,3.75,239.3,6.22,1.13,92.03,25.41,11,279,24.44,14,156,142.87,41.36,206.13,9.85,5.51,194.35,1.22,1,6,34.72,13.84,495.34,1.01,0.96,1.05,0.99,0.92,1.07,0.99,0.96,1.04,1.19,0.36,2.23,0,0,0,0,0,0,0,0,0,26.38,4.4,74.51,0,0,0,0,0,0,0,0,0,0,0,0,18932.52,2677,789290,0.65,0,1,0.22,0.01,0.89,311.42,2.39,571564.75,647.94,65.48,1163902.12,5.26,1.1,103.24
30,200000,20,20,0,100,7.4,31565,63130,125238.76,32.97,2.29,2903.33,33.3,2.29,3106.8,0.65,0.07,1,0.72,0,0.96,0.74,0.05,1,0.75,0.01,1,1.51,1,20.76,29.02,20.03,307.43,0.9,0.16,1,5.82,1.71,60.8,7.72,5,96.38,5.84,1.71,62.89,10.23,14.53,17.31,30.99,80.24,40,241.27,92.51,0.58,186.88,2.38,1,63.2,0.16,0,2.66,0.94,0.27,2.91,0.67,0.02,1,11.12,4.58,251.19,6.07,0.96,33.66,25.39,11,200,24.35,12,204,142.16,36.54,209.03,9.85,5.51,141.45,1.24,1,6,34.39,14.44,510.33,1,0.96,1.05,0.99,0.9,1.08,0.99,0.95,1.07,1.19,0.38,2.64,0,0,0,0,0,0,0,0,0,27.35,3.82,73.07,0,0,0,0,0,0,0,0,0,0,0,0,18299.47,2684,708201,0.64,0,1,0.23,0.03,0.88,224.99,2.61,117681.32,551.65,65.48,468788.03,5.13,0.73,49.6
40,200000,20,20,0,100,7.4,32539,65078,128970.56,31.33,1.89,3806.72,31.61,1.89,3806.72,0.65,0.08,1,0.72,0,0.96,0.75,0.05,1,0.74,0.03,1,1.5,1,19.67,28.69,20.03,605.32,0.9,0.25,1,5.7,1.55,69.62,7.61,5,191.15,5.71,1.55,69.62,9.81,15.31,16.57,55.25,79.84,40,239.15,91.83,0.58,187.08,2.35,1,59.79,0.15,0,2.75,0.95,0.27,2.57,0.67,0.02,1,10.9,3.9,330.61,5.97,1.04,28.04,25.16,11,315,24.36,14,285,141.12,37.65,207.48,9.74,5.51,286.2,1.27,1,5,33.74,14.44,686.49,1.01,0.96,1.05,0.99,0.91,1.07,0.99,0.95,1.04,1.18,0.5,2.84,0,0,0,0,0,0,0,0,0,26.26,3.86,75.24,0,0,0,0,0,0,0,0,0,0,0,0,17637.99,2313,1050438,0.64,0,1,0.24,0.03,0.84,205.01,1.95,176680.89,559.02,65.48,3656974.3,5.03,1.1,48.13
50,200000,20,20,0,100,7.4,35139,70278,139419.13,29.52,2.29,2180.88,29.8,2.29,2217.98,0.64,0.06,1,0.71,0,0.96,0.74,0.05,1,0.73,0.04,1,1.51,1,22.04,28.52,20,272.14,0.89,0.16,1,5.57,1.71,52.7,7.56,5,85.05,5.58,1.71,53.14,9.14,12.38,14.33,22.57,80.36,40,234.77,90.97,0.58,186.88,2.39,1,67.24,0.14,0,2.43,0.95,0.29,2.98,0.66,0.01,1,10.84,4.29,189.25,5.83,1.07,39.61,25.19,12,188,24.24,14,125,140.27,41.76,206.83,9.74,5.51,130.43,1.3,1,7,33.34,14.44,389.04,1,0.96,1.04,0.99,0.92,1.08,0.99,0.95,1.04,1.17,0.45,2.66,0,0,0,0,0,0,0,0,0,25.6,3.73,75.62,0,0,0,0,0,0,0,0,0,0,0,0,16966.85,2511,654504,0.64,0,1,0.25,0.03,0.81,179.84,2.61,76614.57,436.61,65.48,322158.11,4.9,1.1,53.27
60,200000,20,20,0,100,7.4,34627,69254,137635.49,28.29,1.89,2124.51,28.55,1.89,2342.1,0.62,0.08,1,0.7,0,0.96,0.74,0.04,1,0.71,0.04,1,1.52,1,23.97,28.39,20,244.41,0.88,0.15,1,5.46,1.55,52.01,7.52,5,76.3,5.48,1.55,54.61,8.86,12.1,13.76,21.28,80.46,40,233.93,91.29,0.58,186.55,2.42,1,73.29,0.14,0,2.85,0.95,0.26,2.54,0.65,0.01,1,10.79,3.9,295.61,5.71,0.86,35.99,25.07,12,160,24.3,13,137,140.18,33.32,216.38,9.74,5.51,113.53,1.32,1,11,33,14.44,599.48,1.01,0.93,1.05,0.99,0.91,1.11,0.99,0.95,1.03,1.16,0.48,2.66,0,0,0,0,0,0,0,0,0,25.11,3.81,72.7,0,0,0,0,0,0,0,0,0,0,0,0,16529.59,2038,604648,0.63,0,1,0.26,0.02,0.78,167.2,1.95,73663.32,419.93,65.48,232550.06,4.8,1.1,56.21
0,320000,30,20,0,100,7.4,160025,320050,642023.18,87.27,1.89,44334.58,89.35,1.89,49074.59,0.63,0.03,1,0.6,0,0.96,0.56,0.01,1,0.72,0.01,1,2.32,1,96.74,42.14,19.97,1039.83,0.86,0.07,1,8.4,1.55,237.59,11.89,5,329.5,8.48,1.55,249.97,24.04,39.04,47.94,81.38,67.6,40,222.29,92.02,0.58,184.84,4.96,1,301.92,0.42,0,5.49,0.77,0.15,4.35,0.42,0,1,22.11,4.86,1471.44,5.92,0.78,55.08,31.54,9,518,29.46,12,507,152.01,40.57,212.49,15.19,5.51,427.29,1.22,1,34,56.06,14.44,2953.51,1,0.96,1.04,0.99,0.91,1.08,1,0.95,1.04,1.3,0.28,5.43,0,0,0,0,0,0,0,0,0,27.26,2.06,76.39,0,0,0,0,0,0,0,0,0,0,0,0,36624.55,2558,10869792,0.52,0,1,0.28,0.02,0.92,1398.95,1.95,7022271.76,4751.24,65.48,18730583.34,7.84,0.73,195.82
10,320000,30,20,0,100,7.4,93524,187048,368322.9,35.11,2.02,12910.16,35.55,2.02,14752.9,0.63,0.06,1,0.69,0,0.96,0.69,0.02,1,0.72,0.02,1,1.66,1,48.64,30.36,19.93,1098.76,0.88,0.13,1,5.89,1.61,128.21,8.14,5,348.25,5.92,1.61,137.05,12.39,33.14,30.14,191.26,78.73,40,233.53,94.1,0.58,188.31,2.84,1,150.8,0.19,0,2.66,0.92,0.27,3.49,0.61,0.01,1,12.25,3.9,837.7,5.84,0.87,46.84,26.28,10,726,24.63,12,290,146.97,29.57,210.3,10.5,5.51,522.81,1.28,1,19,36.19,13.84,1691.35,1,0.96,1.05,0.99,0.92,1.08,1,0.95,1.04,1.19,0.41,2.76,0,0,0,0,0,0,0,0,0,30.53,3.55,76.19,0,0,0,0,0,0,0,0,0,0,0,0,19350.75,2537,3285825,0.61,0,1,0.26,0.02,0.89,289.95,2.17,1103471.45,1513.15,65.48,22115072.92,5.28,0.73,152.47
20,320000,30,20,0,100,7.4,69232,138464,272168.02,34.3,1.75,21014.95,34.72,1.75,22081.61,0.64,0.06,1,0.7,0,0.96,0.71,0.03,1,0.73,0.02,1,1.61,1,29.64,29.75,20.05,1108.56,0.89,0.14,1,5.81,1.49,163.58,7.95,5,351.46,5.83,1.49,167.68,14,33.14,50.87,193.52,80.29,40,236.47,94.92,0.56,188.64,2.66,1,91.11,0.18,0,2.62,0.93,0.28,3.19,0.63,0.01,1,11.77,3.9,811.71,5.89,0.99,64.6,25.89,12,725,24.53,13,248,146.29,31.78,210.92,10.23,5.51,525.75,1.27,1,10,35.31,13.84,1667.87,1,0.96,1.05,0.99,0.92,1.08,1,0.95,1.06,1.19,0.4,2.66,0,0,0,0,0,0,0,0,0,31.59,2.67,77.86,0,0,0,0,0,0,0,0,0,0,0,0,18919.06,2227,5021700,0.62,0,1,0.26,0.03,0.85,320.15,1.75,2291691.99,1438.41,65.48,22731198.84,5.18,1.1,168.64
30,320000,30,20,0,100,7.4,71727,143454,282192.22,32.27,2.16,9002.37,32.56,2.16,9047.42,0.64,0.05,1,0.7,0,0.96,0.72,0.03,1,0.73,0.03,1,1.57,1,28.9,29.36,19.97,975.54,0.89,0.16,1,5.76,1.66,107.06,7.83,5,309.04,5.77,1.66,107.33,10.68,23.08,23.72,120.44,82.57,40,234.31,94.56,0.58,188.5,2.54,1,88.79,0.17,0,3.05,0.94,0.25,2.98,0.64,0.01,1,11.44,3.9,733.32,5.93,1.02,39.99,25.44,11,640,24.68,13,404,143.8,37.9,209.89,10.05,5.51,466.23,1.27,1,9,34.73,14.44,1491.76,1,0.97,1.05,0.99,0.9,1.07,1,0.95,1.04,1.18,0.42,2.96,0,0,0,0,0,0,0,0,0,31.15,3.56,78.87,0,0,0,0,0,0,0,0,0,0,0,0,18199.39,2333,2325535,0.62,0,1,0.25,0.03,0.83,229.81,2.39,642538.79,928.4,65.48,15454759.15,5.13,1.1,110.59
40,320000,30,20,0,100,7.4,72865,145730,286450.24,32.36,2.16,13145.99,32.73,2.16,17446.44,0.64,0.06,1,0.7,0,0.96,0.72,0.03,1,0.73,0.03,1,1.55,1,38.51,29.26,20.04,1049.21,0.89,0.17,1,5.73,1.66,129.38,7.79,5,332.42,5.75,1.66,149.04,12.38,28.85,38.12,163.3,84.24,40,239.16,94.82,0.58,188.64,2.46,1,118.97,0.15,0,3.32,0.94,0.23,2.96,0.65,0.01,1,11.3,3.75,975.28,5.94,0.96,40.71,25.61,10,590,24.4,13,377,141.56,43.3,212.12,10.03,5.51,497.83,1.28,1,15,34.48,13.84,1987.95,1,0.96,1.05,0.99,0.92,1.1,1,0.95,1.05,1.18,0.45,3.22,0,0,0,0,0,0,0,0,0,30.83,3.77,77.93,0,0,0,0,0,0,0,0,0,0,0,0,17932.59,2623,3745796,0.63,0,1,0.25,0.02,0.81,267.19,2.39,1133845.36,1172.88,65.48,19232770.72,5.08,1.1,151.74
50,320000,30,20,0,100,7.4,75123,150246,296612.01,31.96,2.16,9375.4,32.26,2.16,10551.39,0.64,0.04,1,0.7,0,0.96,0.73,0.04,1,0.73,0.02,1,1.54,1,24.44,29.2,19.97,671.72,0.89,0.12,1,5.72,1.66,109.26,7.77,5,212.28,5.73,1.66,115.91,11.51,21.27,29.53,84.15,85.24,40,243.18,94.41,0.58,187.83,2.43,1,74.76,0.15,0,3.26,0.95,0.23,3.7,0.66,0.01,1,11.2,3.9,582.97,5.95,1.14,39.85,25.56,12,356,24.41,13,339,140.56,48.06,208.18,10,5.51,306.78,1.28,1,7,34.3,14.44,1202.88,1,0.97,1.05,0.99,0.9,1.07,1,0.95,1.04,1.18,0.32,3.23,0,0,0,0,0,0,0,0,0,30.7,3.52,79.38,0,0,0,0,0,0,0,0,0,0,0,0,17711.11,2590,2602536,0.63,0,1,0.25,0.03,0.87,245.16,2.39,682886.53,845.15,65.48,5008395.09,5.06,0.73,106.18
60,320000,30,20,0,100,7.4,78420,156840,307504.66,30.5,2.16,9505.91,30.72,2.16,9505.91,0.63,0.03,1,0.7,0,0.96,0.73,0.06,1,0.72,0.02,1,1.54,1,17.1,29.03,20.04,495.97,0.89,0.17,1,5.64,1.66,110.01,7.72,5,156.39,5.65,1.66,110.01,10.46,15.66,24.73,44.05,86.5,40,237.13,94,0.59,189.13,2.43,1,51.69,0.14,0,2.67,0.95,0.27,3.46,0.65,0.02,1,11.11,3.75,383.36,5.87,1.02,65.61,25.44,8,293,24.43,13,208,139.16,21.23,208.65,9.97,5.51,223.75,1.3,1,7,33.96,13.84,797.06,1,0.97,1.04,0.99,0.91,1.06,1,0.95,1.03,1.17,0.36,2.48,0,0,0,0,0,0,0,0,0,29.86,3.71,76.67,0,0,0,0,0,0,0,0,0,0,0,0,17078.13,2441,1413046,0.63,0,1,0.25,0.02,0.84,212.62,2.39,697194.84,591.47,65.48,2002742,4.97,0.73,107.65
0,350000,40,20,0,100,7.4,173922,347844,725711.97,94.05,1.89,31279.46,96.4,1.89,33160.11,0.63,0.02,1,0.59,0,0.95,0.56,0.02,1,0.71,0.01,1,2.33,1,51.96,43.13,20.01,1207.93,0.86,0.07,1,8.6,1.55,199.57,12.21,5,382.99,8.69,1.55,205.48,26.29,42.78,52.06,93.33,67.19,40,236.87,89.02,0.56,177.75,4.99,1,161.24,0.41,0,4.52,0.78,0.18,3.38,0.42,0.01,1,22.67,4.69,1105.73,6,0.82,52.88,31.28,9,576,30.6,12,581,149.37,36.59,215.18,15.59,5.51,447.13,1.24,1,21,57.33,14.44,2273.38,1,0.96,1.04,0.99,0.92,1.07,1,0.96,1.06,1.3,0.37,3.76,0,0,0,0,0,0,0,0,0,26.62,2.93,75.36,0,0,0,0,0,0,0,0,0,0,0,0,37607.39,2539,6139829,0.52,0,1,0.28,0.02,0.89,1648.67,1.95,4161527.32,5634.19,65.48,29415405.24,8.03,0.73,288.41
10,350000,40,20,0,100,7.4,117914,235828,465565.92,35.26,1.75,13583.06,35.69,1.75,15288.65,0.61,0.04,1,0.67,0,0.96,0.68,0.02,1,0.69,0.02,1,1.71,1,47.66,30.86,19.95,723.5,0.87,0.09,1,5.87,1.49,131.51,8.3,5,228.79,5.9,1.49,139.52,13.24,22.23,37.97,82.63,78.77,40,238.91,94.21,0.56,187.83,3.01,1,147.72,0.2,0,4.42,0.92,0.18,3.57,0.58,0.01,1,12.57,3.9,756.73,5.7,0.99,50.8,26.41,11,453,25.06,12,454,144.69,31.79,212.36,10.79,5.51,337.64,1.32,1,18,36.54,13.84,1544.48,1,0.88,1.13,0.99,0.86,1.26,1,0.91,1.12,1.19,0.4,3.71,0,0,0,0,0,0,0,0,0,29.45,3.36,77.78,0,0,0,0,0,0,0,0,0,0,0,0,18983.18,2198,3867767,0.6,0,1,0.28,0.02,0.87,311.13,1.75,1190858.05,1028.07,65.48,6270456.66,5.27,0.73,160.55
20,350000,40,20,0,100,7.4,92076,184152,364200.93,33.8,1.89,16319.64,34.21,1.89,19902.27,0.62,0.06,1,0.68,0,0.96,0.7,0.03,1,0.71,0.02,1,1.64,1,32.69,30.17,20,1030.04,0.87,0.15,1,5.81,1.55,144.15,8.08,5,326.52,5.84,1.55,159.19,11.49,20.24,27.77,102.69,80.9,40,238.91,94.04,0.58,187.5,2.77,1,100.7,0.18,0,3.13,0.93,0.24,3.68,0.61,0.01,1,12.01,3.9,712.53,5.79,0.99,58.49,25.82,10,662,25.07,13,226,142.71,36.58,211.01,10.46,5.51,475.78,1.31,1,9,35.6,13.84,1483.27,1,0.96,1.05,0.99,0.9,1.07,1,0.95,1.04,1.18,0.38,3.1,0,0,0,0,0,0,0,0,0,29.86,3.51,75.44,0,0,0,0,0,0,0,0,0,0,0,0,18399.38,2333,4297606,0.61,0,1,0.27,0.02,0.83,258.82,1.95,1568302.54,866.18,65.48,18226958.19,5.19,1.1,100.3
30,350000,40,20,0,100,7.4,81712,163424,319034.78,31.71,2.29,3213.03,32.04,2.29,3408.77,0.62,0.07,1,0.69,0,0.96,0.71,0.05,1,0.71,0.03,1,1.61,1,22.2,29.64,20.03,585.92,0.88,0.14,1,5.7,1.71,63.96,7.92,5,185.01,5.72,1.71,65.88,9.9,14.75,16.3,36.85,80.98,40,240.32,95.28,0.58,189.92,2.68,1,67.74,0.17,0,2.77,0.94,0.27,3.38,0.62,0.01,1,11.67,4.11,411.52,5.77,1.05,30.94,25.49,10,304,24.96,13,275,142.05,41.66,210.94,10.24,5.51,283.27,1.31,1,15,34.88,13.84,835.2,1,0.96,1.04,0.99,0.91,1.07,1,0.95,1.04,1.18,0.38,2.78,0,0,0,0,0,0,0,0,0,29.18,3.54,75.75,0,0,0,0,0,0,0,0,0,0,0,0,17747.37,2512,1077027,0.61,0,1,0.27,0.02,0.83,209.27,2.61,137004.73,586.87,65.48,3315570.4,5.09,1.1,76.79
